French Polynesia,PYF,"Life expectancy at birth, total (years)",72.45,76.12702439
Qatar,QAT,"Life expectancy at birth, total (years)",76.4955122,78.22765854
Romania,ROU,"Life expectancy at birth, total (years)",71.16341463,74.41219512
Russian Federation,RUS,"Life expectancy at birth, total (years)",65.34146341,70.36585366
Rwanda,RWA,"Life expectancy at birth, total (years)",48.19236585,62.79936585
South Asia,SAS,"Life expectancy at birth, total (years)",62.90780859,67.43538543
Saudi Arabia,SAU,"Life expectancy at birth, total (years)",72.52621951,74.01602439
Sudan,SDN,"Life expectancy at birth, total (years)",57.97497561,62.83219512
Senegal,SEN,"Life expectancy at birth, total (years)",57.76580488,65.31887805
Singapore,SGP,"Life expectancy at birth, total (years)",77.95121951,81.99512195
Solomon Islands,SLB,"Life expectancy at birth, total (years)",62.83673171,67.50658537
Sierra Leone,SLE,"Life expectancy at birth, total (years)",38.69014634,49.74909756
El Salvador,SLV,"Life expectancy at birth, total (years)",68.71704878,72.23185366
San Marino,SMR,"Life expectancy at birth, total (years)",80.6195122,
Somalia,SOM,"Life expectancy at birth, total (years)",50.87826829,54.6902439
Serbia,SRB,"Life expectancy at birth, total (years)",71.58292683,74.83658537
Sub-Saharan Africa (developing only),SSA,"Life expectancy at birth, total (years)",50.33798564,57.54516382
South Sudan,SSD,"Life expectancy at birth, total (years)",49.21907317,54.727
Sub-Saharan Africa (all income levels),SSF,"Life expectancy at birth, total (years)",50.33939359,57.54621094
Small states,SST,"Life expectancy at birth, total (years)",60.73374312,64.84853809
Sao Tome and Principe,STP,"Life expectancy at birth, total (years)",63.29253659,66.13390244
Suriname,SUR,"Life expectancy at birth, total (years)",67.92917073,70.80631707
Slovakia,SVK,"Life expectancy at birth, total (years)",73.05121951,76.1097561
Slovenia,SVN,"Life expectancy at birth, total (years)",75.41219512,80.12439024
Sweden,SWE,"Life expectancy at birth, total (years)",79.64390244,81.70487805
Swaziland,SWZ,"Life expectancy at birth, total (years)",48.66407317,48.85063415
Sint Maarten (Dutch part),SXM,"Life expectancy at birth, total (years)",,73.05365854
Seychelles,SYC,"Life expectancy at birth, total (years)",,74.22682927
Syrian Arab Republic,SYR,"Life expectancy at birth, total (years)",72.72168293,70.78590244
Turks and Caicos Islands,TCA,"Life expectancy at birth, total (years)",,
Chad,TCD,"Life expectancy at birth, total (years)",47.57807317,50.78139024
Togo,TGO,"Life expectancy at birth, total (years)",53.46868293,58.55385366
Thailand,THA,"Life expectancy at birth, total (years)",70.63407317,74.07190244
Tajikistan,TJK,"Life expectancy at birth, total (years)",63.69529268,69.16697561
Turkmenistan,TKM,"Life expectancy at birth, total (years)",63.89929268,65.31158537
Timor-Leste,TLS,"Life expectancy at birth, total (years)",59.34697561,67.80014634
Tonga,TON,"Life expectancy at birth, total (years)",70.76043902,72.488
Trinidad and Tobago,TTO,"Life expectancy at birth, total (years)",68.59643902,70.15139024
Tunisia,TUN,"Life expectancy at birth, total (years)",72.6,73.99512195
Turkey,TUR,"Life expectancy at birth, total (years)",69.99934146,74.63680488
Tuvalu,TUV,"Life expectancy at birth, total (years)",,
United Republic of Tanzania,TZA,"Life expectancy at birth, total (years)",50.46534146,63.52090244
Uganda,UGA,"Life expectancy at birth, total (years)",46.41997561,57.10019512
Ukraine,UKR,"Life expectancy at birth, total (years)",67.8595122,70.94414634
Upper middle income,UMC,"Life expectancy at birth, total (years)",70.89089033,74.23140797
Uruguay,URY,"Life expectancy at birth, total (years)",74.68597561,76.68839024
United States of America,USA,"Life expectancy at birth, total (years)",76.63658537,78.74146341
Uzbekistan,UZB,"Life expectancy at birth, total (years)",66.94078049,68.10197561
St. Vincent and the Grenadines,VCT,"Life expectancy at birth, total (years)",70.58212195,72.67185366
"Venezuela (Bolivarian Republic of)",VEN,"Life expectancy at birth, total (years)",72.34612195,73.92573171
Virgin Islands (U.S.),VIR,"Life expectancy at birth, total (years)",76.6195122,79.47317073
Vietnam,VNM,"Life expectancy at birth, total (years)",73.14858537,75.31939024
Vanuatu,VUT,"Life expectancy at birth, total (years)",67.555,71.40817073
West Bank and Gaza,PSE,"Life expectancy at birth, total (years)",70.75890244,72.55885366
World,WLD,"Life expectancy at birth, total (years)",67.606314,71.00381752
Samoa,WSM,"Life expectancy at birth, total (years)",69.48731707,72.98004878
"Yemen",YEM,"Life expectancy at birth, total (years)",60.45636585,63.32729268
South Africa,ZAF,"Life expectancy at birth, total (years)",55.83687805,56.09831707
"Democratic Republic of the Congo",COD,"Life expectancy at birth, total (years)",50.00287805,57.85407317
Zambia,ZMB,"Life expectancy at birth, total (years)",43.45668293,58.36331707
Zimbabwe,ZWE,"Life expectancy at birth, total (years)",41.68943902,53.64307317
World,WOR,"Life expectancy at birth, total (years)",66,70
