"Country","Year","All Causes","Communicable & other Group I","Noncommunicable diseases","Injuries"
"Tajikistan","2000","52132","18073","29513","4546"
"Thailand","2012","28993","5805","19381","3807"
"Thailand","2000","37655","11301","21910","4444"
"The former Yugoslav republic of Macedonia","2012","26392","1883","22425","2083"
"The former Yugoslav republic of Macedonia","2000","30232","2723","24819","2690"
"Timor-Leste","2012","48768","19667","24935","4166"
"Timor-Leste","2000","69526","33016","30618","5892"
"Togo","2012","71808","38319","28172","5317"
"Togo","2000","82543","49305","27908","5331"
"Trinidad and Tobago","2012","38360","5294","26596","6471"
"Trinidad and Tobago","2000","40507","8631","28674","3203"
"Tunisia","2012","26814","4020","20266","2527"
"Tunisia","2000","31272","5822","22365","3085"
"Turkey","2012","29027","3738","22405","2884"
"Turkey","2000","39312","7557","27616","4139"
"Turkmenistan","2012","53597","9563","37946","6088"
"Turkmenistan","2000","56635","14418","36467","5751"
"Uganda","2012","74116","38378","27342","8395"
"Uganda","2000","122162","83634","29019","9509"
"Ukraine","2012","35121","4935","26107","4079"
"Ukraine","2000","41978","4955","30040","6984"
"United Arab Emirates","2012","25546","2588","20714","2244"
"United Arab Emirates","2000","29298","2985","23385","2928"
"United Kingdom","2012","20376","1394","17157","1825"
"United Kingdom","2000","23336","1911","19351","2074"
"United Republic of Tanzania","2012","63043","32371","24246","6426"
"United Republic of Tanzania","2000","97902","63365","27030","7507"
"United States of America","2012","22775","1604","18603","2567"
"United States of America","2000","24782","1857","20107","2817"
"Uruguay","2012","24820","2675","18971","3173"
"Uruguay","2000","28431","3325","21453","3653"
"Uzbekistan","2012","40253","7717","29089","3446"
"Uzbekistan","2000","46078","11633","30512","3933"
"Venezuela (Bolivarian Republic of)","2012","29410","4143","18968","6299"
"Venezuela (Bolivarian Republic of)","2000","31677","5394","21078","5204"
"Viet Nam","2012","29226","6375","19555","3296"
"Viet Nam","2000","32623","8610","20119","3895"
"Yemen","2012","55241","23365","26449","5428"
"Yemen","2000","64525","32205","26853","5468"
"Zambia","2012","76189","44639","24206","7344"
"Zambia","2000","142831","103127","29074","10630"
"Zimbabwe","2012","72784","43557","24053","5173"
"Zimbabwe","2000","142044","112249","24971","4824"
